size,implementation,operation,avg_time_ns
10,SinglyLinkedListNoTail,pushFront,1020
10,SinglyLinkedListNoTail,pushBack,1531
10,SinglyLinkedListNoTail,popFront,1599
10,SinglyLinkedListNoTail,popBack,1292
10,SinglyLinkedListNoTail,find,3542
10,SinglyLinkedListNoTail,erase(value),9552
10,SinglyLinkedListNoTail,erase(reference),1503
10,SinglyLinkedListNoTail,addAfter,937
10,SinglyLinkedListNoTail,addBefore,1137
100,SinglyLinkedListNoTail,pushFront,290
100,SinglyLinkedListNoTail,pushBack,2198
100,SinglyLinkedListNoTail,popFront,246
100,SinglyLinkedListNoTail,popBack,1442
100,SinglyLinkedListNoTail,find,2834
100,SinglyLinkedListNoTail,erase(value),6107
100,SinglyLinkedListNoTail,erase(reference),2191
100,SinglyLinkedListNoTail,addAfter,515
100,SinglyLinkedListNoTail,addBefore,1142
1000,SinglyLinkedListNoTail,pushFront,380
1000,SinglyLinkedListNoTail,pushBack,10941
1000,SinglyLinkedListNoTail,popFront,262
1000,SinglyLinkedListNoTail,popBack,14566
1000,SinglyLinkedListNoTail,find,14050
1000,SinglyLinkedListNoTail,erase(value),12254
1000,SinglyLinkedListNoTail,erase(reference),10760
1000,SinglyLinkedListNoTail,addAfter,335
1000,SinglyLinkedListNoTail,addBefore,4464
10000,SinglyLinkedListNoTail,pushFront,236
10000,SinglyLinkedListNoTail,pushBack,42915
10000,SinglyLinkedListNoTail,popFront,272
10000,SinglyLinkedListNoTail,popBack,37200
10000,SinglyLinkedListNoTail,find,65702
10000,SinglyLinkedListNoTail,erase(value),38667
10000,SinglyLinkedListNoTail,erase(reference),53157
10000,SinglyLinkedListNoTail,addAfter,798
10000,SinglyLinkedListNoTail,addBefore,7476
100000,SinglyLinkedListNoTail,pushFront,131
100000,SinglyLinkedListNoTail,pushBack,378672
100000,SinglyLinkedListNoTail,popFront,321
100000,SinglyLinkedListNoTail,popBack,335691
100000,SinglyLinkedListNoTail,find,178111
100000,SinglyLinkedListNoTail,erase(value),234005
100000,SinglyLinkedListNoTail,erase(reference),172443
100000,SinglyLinkedListNoTail,addAfter,573
100000,SinglyLinkedListNoTail,addBefore,107522
1000000,SinglyLinkedListNoTail,pushFront,258
1000000,SinglyLinkedListNoTail,pushBack,2692626
1000000,SinglyLinkedListNoTail,popFront,351
1000000,SinglyLinkedListNoTail,popBack,4481022
1000000,SinglyLinkedListNoTail,find,1484442
1000000,SinglyLinkedListNoTail,erase(value),1932237
1000000,SinglyLinkedListNoTail,erase(reference),1611521
1000000,SinglyLinkedListNoTail,addAfter,1543
1000000,SinglyLinkedListNoTail,addBefore,870498
10000000,SinglyLinkedListNoTail,pushFront,194
10000000,SinglyLinkedListNoTail,pushBack,29623922
10000000,SinglyLinkedListNoTail,popFront,410
10000000,SinglyLinkedListNoTail,popBack,37417978
10000000,SinglyLinkedListNoTail,find,12155994
10000000,SinglyLinkedListNoTail,erase(value),11825806
10000000,SinglyLinkedListNoTail,erase(reference),9902814
10000000,SinglyLinkedListNoTail,addAfter,4552
10000000,SinglyLinkedListNoTail,addBefore,6534528
10,SinglyLinkedListTail,pushFront,520
10,SinglyLinkedListTail,pushBack,769
10,SinglyLinkedListTail,popFront,830
10,SinglyLinkedListTail,popBack,831
10,SinglyLinkedListTail,find,1506
10,SinglyLinkedListTail,erase(value),6303
10,SinglyLinkedListTail,erase(reference),856
10,SinglyLinkedListTail,addAfter,649
10,SinglyLinkedListTail,addBefore,637
100,SinglyLinkedListTail,pushFront,448
100,SinglyLinkedListTail,pushBack,803
100,SinglyLinkedListTail,popFront,226
100,SinglyLinkedListTail,popBack,1312
100,SinglyLinkedListTail,find,2820
100,SinglyLinkedListTail,erase(value),6398
100,SinglyLinkedListTail,erase(reference),2042
100,SinglyLinkedListTail,addAfter,942
100,SinglyLinkedListTail,addBefore,1122
1000,SinglyLinkedListTail,pushFront,197
1000,SinglyLinkedListTail,pushBack,255
1000,SinglyLinkedListTail,popFront,230
1000,SinglyLinkedListTail,popBack,15468
1000,SinglyLinkedListTail,find,15680
1000,SinglyLinkedListTail,erase(value),11638
1000,SinglyLinkedListTail,erase(reference),13693
1000,SinglyLinkedListTail,addAfter,291
1000,SinglyLinkedListTail,addBefore,4241
10000,SinglyLinkedListTail,pushFront,273
10000,SinglyLinkedListTail,pushBack,489
10000,SinglyLinkedListTail,popFront,216
10000,SinglyLinkedListTail,popBack,31746
10000,SinglyLinkedListTail,find,89163
10000,SinglyLinkedListTail,erase(value),40531
10000,SinglyLinkedListTail,erase(reference),58401
10000,SinglyLinkedListTail,addAfter,590
10000,SinglyLinkedListTail,addBefore,5851
100000,SinglyLinkedListTail,pushFront,126
100000,SinglyLinkedListTail,pushBack,1092
100000,SinglyLinkedListTail,popFront,518
100000,SinglyLinkedListTail,popBack,1198939
100000,SinglyLinkedListTail,find,219212
100000,SinglyLinkedListTail,erase(value),252371
100000,SinglyLinkedListTail,erase(reference),247363
100000,SinglyLinkedListTail,addAfter,400
100000,SinglyLinkedListTail,addBefore,178591
1000000,SinglyLinkedListTail,pushFront,181
1000000,SinglyLinkedListTail,pushBack,4230
1000000,SinglyLinkedListTail,popFront,330
1000000,SinglyLinkedListTail,popBack,4435888
1000000,SinglyLinkedListTail,find,1478703
1000000,SinglyLinkedListTail,erase(value),1754724
